id,category,sales,region
1,A,10,North
2,B,20,South
3,C,30,East
4,D,40,West
5,A,50,North
6,B,60,South
7,C,70,East
8,D,80,West
9,A,90,North
10,B,100,South
11,C,110,East
12,D,120,West
13,A,130,North
14,B,140,South
15,C,150,East
16,D,160,West
17,A,170,North
18,B,180,South
19,C,190,East
20,D,200,West
21,A,210,North
22,B,220,South
23,C,230,East
24,D,240,West
25,A,250,North
26,B,260,South
27,C,270,East
28,D,280,West
29,A,290,North
30,B,300,South
31,C,310,East
32,D,320,West
33,A,330,North
34,B,340,South
35,C,350,East
36,D,360,West
37,A,370,North
38,B,380,South
39,C,390,East
40,D,400,West
41,A,410,North
42,B,420,South
43,C,430,East
44,D,440,West
45,A,450,North
46,B,460,South
47,C,470,East
48,D,480,West
49,A,490,North
50,B,500,South
51,C,510,East
52,D,520,West
53,A,530,North
54,B,540,South
55,C,550,East
56,D,560,West
57,A,570,North
58,B,580,South
59,C,590,East
60,D,600,West
61,A,610,North
62,B,620,South
63,C,630,East
64,D,640,West
65,A,650,North
66,B,660,South
67,C,670,East
68,D,680,West
69,A,690,North
70,B,700,South
71,C,710,East
72,D,720,West
73,A,730,North
74,B,740,South
75,C,750,East
76,D,760,West
77,A,770,North
78,B,780,South
79,C,790,East
80,D,800,West
81,A,810,North
82,B,820,South
83,C,830,East
84,D,840,West
85,A,850,North
86,B,860,South
87,C,870,East
88,D,880,West
89,A,890,North
90,B,900,South
91,C,910,East
92,D,920,West
93,A,930,North
94,B,940,South
95,C,950,East
96,D,960,West
97,A,970,North
98,B,980,South
99,C,990,East
100,D,1000,West
